datetime,zone_1,zone_2,zone_3,zone_4,zone_5
2004-01-01,1486969,402200,3258627,3515963,14661
2004-01-02,1426468,409477,3698050,3990102,14196
2004-01-03,1320876,368016,3330975,3594026,12355
2004-01-04,1170487,326785,3173938,3424578,11352
2004-01-05,1219942,348839,4046833,4366437,11506
2004-01-06,1606993,521793,4724497,5097642,14952
2004-01-07,1968050,663385,5392437,5818345,18067
2004-01-08,1945891,618726,5230353,5643461,17165
2004-01-09,1889552,608845,4938671,5328731,16745
2004-01-10,2103718,654233,5352922,5775712,18058
2004-01-11,2213188,698740,5048471,5447208,18348
2004-01-12,1731053,497215,4554831,4914567,14784
2004-01-13,1602672,447034,4496018,4851110,14916
2004-01-14,1684888,493925,4779945,5157464,15084
2004-01-15,1636839,494945,4989333,5383388,16077
2004-01-16,1899538,577138,5520897,5956952,18199
2004-01-17,1843769,535128,4863205,5247304,18290
2004-01-18,1607499,473455,4310494,4650925,16001
2004-01-19,1809168,588624,5257342,5672580,17273
2004-01-20,1982888,650131,5419830,5847899,18182
2004-01-21,1977175,647076,5418138,5846076,18710
2004-01-22,1780490,541922,4988787,5382807,17046
2004-01-23,1873908,598802,5399707,5826190,18488
2004-01-24,1723368,514386,5057322,5456753,18155
2004-01-25,2205497,727768,5375522,5800097,19319
2004-01-26,2253484,752017,5481182,5914101,17913
2004-01-27,2033684,637944,5290501,5708361,16165
2004-01-28,1982315,640669,5208194,5619552,17746
2004-01-29,1834659,543388,4911427,5299335,16361
2004-01-30,1763622,554822,5109784,5513363,16633
2004-01-31,2068604,692317,5295329,5713566,19141
2004-02-01,1879943,595857,4894323,5280878,17591
2004-02-02,1709072,588250,5143120,5549333,16229
2004-02-03,1566647,518615,4829194,5210607,15211
2004-02-04,1599308,482195,4577317,4938833,14829
2004-02-05,1743235,579788,4945595,5336199,16333
2004-02-06,1666543,587344,4699184,5070328,7791
2004-02-07,1550706,527278,4291406,4630334,12628
2004-02-08,1668556,545548,4460672,4812971,14718
2004-02-09,1709439,552083,4724435,5097569,16441
2004-02-10,1510555,474181,4285273,4623716,14785
2004-02-11,1522678,477764,4378506,4724310,14847
2004-02-12,1648866,517035,4474805,4828216,14753
2004-02-13,1541950,468096,4498054,4853308,14501
2004-02-14,1494582,463491,4380600,4726571,16028
2004-02-15,1612816,519970,4468162,4821049,16116
2004-02-16,1798602,581618,5248530,5663065,16319
2004-02-17,1913336,597875,5196936,5607403,15730
2004-02-18,1672902,543771,4950170,5341139,15559
2004-02-19,1470915,429512,4435079,4785357,14023
2004-02-20,1331475,398988,4202881,4534813,13827
2004-02-21,1202497,389689,3955018,4267365,14702
2004-02-22,1380043,453487,4208131,4540475,15028
2004-02-23,1503684,481594,4557304,4917235,14491
2004-02-24,1398020,443550,4672935,5042009,14407
2004-02-25,1535181,465045,4712306,5084482,14472
2004-02-26,1753315,553156,4905889,5293359,16000
2004-02-27,1584224,461507,4525311,4882715,14927
2004-02-28,1477935,457216,4048414,4368143,15206
2004-02-29,1389339,423322,3815717,4117062,14472
2004-03-01,1365555,374131,4009059,4325679,12747
2004-03-02,1239152,333853,3740613,4036021,11738
2004-03-03,1187922,335324,3756324,4052979,11830
2004-03-04,1205441,311930,3846439,4150208,11715
2004-03-05,1151619,301368,3717870,4011485,11334
2004-03-06,1169293,310795,3298069,3558520,11989
2004-03-07,1183744,320288,3402088,3670759,12714
2004-03-08,1478839,436611,4367020,4711914,14153
2004-03-09,1522708,453023,4532180,4890127,14206
2004-03-10,1618233,450177,4540474,4899080,13934
2004-03-11,1545563,443043,4319409,4660545,13826
2004-03-12,1366042,372656,4189780,4520682,14405
2004-03-13,1464365,423125,3701077,3993367,15544
2004-03-14,1375317,376916,3543204,3823020,14203
2004-03-15,1237939,327863,3434776,3706025,11932
2004-03-16,1306138,396414,4133140,4459564,12948
2004-03-17,1473489,435715,4231530,4565725,13642
2004-03-18,1535099,409282,4018722,4336105,13388
2004-03-19,1339173,358918,3805319,4105840,13824
2004-03-20,1377089,391165,3441124,3712877,13919
2004-03-21,1267610,372889,3391587,3659424,13719
2004-03-22,1681250,497954,4344935,4688093,14679
2004-03-23,1667298,477075,4165497,4494477,13910
2004-03-24,1475860,414996,3755526,4052120,13066
2004-03-25,1271181,336976,3305921,3566990,11403
2004-03-26,1167709,306031,3102747,3347766,11075
2004-03-27,1127125,316257,2714411,2928753,11687
2004-03-28,1119333,308587,2684919,2896923,11281
2004-03-29,1292209,333941,3295561,3555815,11117
2004-03-30,1419903,403800,3790004,4089322,12174
2004-03-31,1370868,414142,3778295,4076685,12688
2004-04-01,1298600,387838,3881036,4187539,12915
2004-04-02,1332055,406332,3976996,4291085,13170
2004-04-03,1286582,396503,3417182,3687041,13163
2004-04-04,1299635,416434,3581733,3864595,13438
2004-04-05,1392649,430457,4220276,4553585,13630
2004-04-06,1340784,389716,3817085,4118537,12477
2004-04-07,1175919,331260,3330812,3593848,11259
2004-04-08,1092163,312365,3609647,3894712,11149
2004-04-09,1079607,312402,3370484,3636653,11292
2004-04-10,1179128,346078,3161124,3410753,12007
2004-04-11,1213696,344299,3359895,3625228,12036
2004-04-12,1394740,428615,4167607,4496750,12756
2004-04-13,1275970,388398,4190340,4521283,12119
2004-04-14,1225542,399502,4063401,4384314,12432
2004-04-15,1128211,362996,3856631,4161211,11725
2004-04-16,1064804,336689,3643692,3931451,11294
2004-04-17,972809,331702,3154611,3403724,11359
2004-04-18,962562,351336,3137358,3385113,10969
2004-04-19,1067011,356241,3723505,4017569,10537
2004-04-20,1172514,350827,3721037,4014907,10053
2004-04-21,1223174,336173,3656607,3945386,9926
2004-04-22,1210433,337660,3648208,3936322,9765
2004-04-23,1238966,340396,3578860,3861493,10105
2004-04-24,1200120,356530,3119648,3366005,10589
2004-04-25,1118512,325254,2951518,3184586,10397
2004-04-26,1119447,315408,3446066,3718212,9983
2004-04-27,1105181,313706,3534757,3813910,10499
2004-04-28,1166316,337131,3608207,3893159,10536
2004-04-29,1162632,318229,3483329,3758419,10221
2004-04-30,1097117,303539,3180264,3431414,10167
2004-05-01,1092892,316088,2950233,3183205,10646
2004-05-02,1141228,336202,2999990,3236891,10604
2004-05-03,1158364,320619,3352174,3616902,10665
2004-05-04,1230935,341482,3532339,3811298,10535
2004-05-05,1207449,321891,3517352,3795125,10185
2004-05-06,1204364,345140,3506653,3783580,10322
2004-05-07,1331693,391461,3612673,3897975,10320
2004-05-08,1201148,354641,3021176,3259749,10612
2004-05-09,1257425,375007,3192568,3444678,10976
2004-05-10,1386439,399277,3907890,4216521,10969
2004-05-11,1374454,409914,4074543,4396334,10711
2004-05-12,1330586,397526,4136250,4462918,10923
2004-05-13,1344521,386295,4157391,4485727,10584
2004-05-14,1372882,394457,4000607,4316557,11256
2004-05-15,1384848,411630,3446352,3718515,11703
2004-05-16,1268377,370049,3209019,3462441,11261
2004-05-17,1263793,359097,3758517,4055335,10972
2004-05-18,1360360,385575,3798754,4098757,10576
2004-05-19,1351396,389430,3630007,3916685,10769
2004-05-20,1350243,395605,3588468,3871861,11146
2004-05-21,1510417,415136,3603068,3887614,11677
2004-05-22,1539228,436409,3525676,3804110,12443
2004-05-23,1548389,448782,3880966,4187464,12495
2004-05-24,1559582,452045,4333228,4675459,11859
2004-05-25,1606197,466738,4300209,4639832,11686
2004-05-26,1508293,431208,4032621,4351104,10673
2004-05-27,1461789,417618,3954431,4266736,10860
2004-05-28,1415759,400678,3678310,3968801,11220
2004-05-29,1352866,422332,2924387,3155316,11846
2004-05-30,1159934,341410,2838819,3062985,11765
2004-05-31,1408145,403734,3030696,3270023,12126
2004-06-01,1364181,381212,3558751,3839802,10652
2004-06-02,1406961,382697,3698205,3990270,10762
2004-06-03,1423423,405154,3717894,4011507,10844
2004-06-04,1164915,330433,3388601,3656208,10543
2004-06-05,1123622,339176,2991290,3227505,11152
2004-06-06,1153756,354542,2929607,3160948,11039
2004-06-07,1242144,396751,3734204,4029109,10924
2004-06-08,1343383,406867,4348108,4691513,11821
2004-06-09,1594742,458214,4745498,5120298,11977
2004-06-10,1636859,456039,4530077,4887863,11934
2004-06-11,1644362,467032,3892922,4200372,12129
2004-06-12,1308902,372039,3414254,3683882,11561
2004-06-13,1197674,351393,3264899,3522729,11336
2004-06-14,1442657,420706,4347408,4690756,11703
2004-06-15,1517205,432348,4701900,5073257,11801
2004-06-16,1588063,469576,4621661,4986674,12191
2004-06-17,1746426,529520,4876761,5261928,12746
2004-06-18,1799073,523605,4742992,5117596,12727
2004-06-19,1706026,501458,3924585,4234530,11822
2004-06-20,1377561,412090,3269127,3527291,10972
2004-06-21,1327693,366186,3853985,4158356,9898
2004-06-22,1530840,462946,4348043,4691446,11447
2004-06-23,1476537,408786,4136872,4463589,11085
2004-06-24,1542711,463999,4390834,4737617,11495
2004-06-25,1456413,395767,4180288,4510435,11120
2004-06-26,1441479,421961,3689022,3980359,10817
2004-06-27,1298737,371817,3471748,3745922,10975
2004-06-28,1395491,408606,4159377,4487870,10433
2004-06-29,1532826,428212,4045792,4365316,10358
2004-06-30,1554646,449673,4092786,4416021,10922
2004-07-01,1597664,471618,4365656,4710447,11117
2004-07-02,1752090,528579,4599196,4962434,11608
2004-07-03,1765731,525661,3904395,4212748,12670
2004-07-04,1772321,521889,3556637,3837512,12791
2004-07-05,1879248,553013,4033180,4351705,12851
2004-07-06,1866119,567916,4640174,5006658,11960
2004-07-07,1747073,529653,4586672,4948925,11239
2004-07-08,1796479,525625,4529474,4887206,11079
2004-07-09,1834337,543250,4506875,4862826,11794
2004-07-10,1803845,488057,3588729,3872142,11842
2004-07-11,1732579,501131,3898874,4206791,12150
2004-07-12,1730176,531493,4245361,4580652,12098
2004-07-13,1887662,551144,4278307,4616197,12125
2004-07-14,1856043,548395,4270341,4607606,11736
2004-07-15,1661030,470924,3938473,4249518,10826
2004-07-16,1608138,454805,3865873,4171182,11161
2004-07-17,1614484,428195,3295740,3556003,11346
2004-07-18,1539854,430881,3122264,3368826,11072
2004-07-19,1657123,467347,3826856,4129078,10996
2004-07-20,1619783,470510,4151897,4479801,10893
2004-07-21,1686391,495726,4411423,4759830,11385
2004-07-22,1745120,459614,4582148,4944044,11464
2004-07-23,1759006,512512,4381723,4727788,12476
2004-07-24,1581526,482974,3694594,3986367,12136
2004-07-25,1478813,422021,3166005,3416018,11942
2004-07-26,1682833,427562,3775904,4074100,12069
2004-07-27,1757158,448391,4139881,4466838,12044
2004-07-28,1722892,486583,4257009,4593217,12006
2004-07-29,1620587,426373,4207650,4539958,11548
2004-07-30,1761262,500639,4416303,4765095,12318
2004-07-31,1873764,544399,4192179,4523265,13083
2004-08-01,1802866,563110,3996793,4312446,13510
2004-08-02,1691321,505743,4354740,4698668,12714
2004-08-03,1731175,528318,4523457,4880715,12572
2004-08-04,1842279,550730,4605893,4969662,12586
2004-08-05,1611219,427418,3963991,4277047,11500
2004-08-06,1366906,370184,3455480,3728360,10890
2004-08-07,1355836,367246,3076736,3319705,11423
2004-08-08,1402147,388860,3092237,3336422,11384
2004-08-09,1500301,436400,3875497,4181562,11318
2004-08-10,1616661,457021,4343332,4686362,11304
2004-08-11,1651531,455205,4334565,4676907,11439
2004-08-12,1474079,386834,3928590,4238853,11075
2004-08-13,1462277,398899,3746871,4042770,11060
2004-08-14,1317573,348892,3202992,3455934,11415
2004-08-15,1235424,360417,3334488,3597816,11416
2004-08-16,1484702,414364,3913629,4222706,10956
2004-08-17,1455677,403509,4110045,4434645,10346
2004-08-18,1509270,457849,4252142,4587970,10727
2004-08-19,1774698,505005,4520258,4877266,11204
2004-08-20,1849521,525097,4609515,4973571,11832
2004-08-21,1746287,472373,3705511,3998144,11858
2004-08-22,1514517,410427,3384562,3651847,11226
2004-08-23,1562947,436140,4053485,4373620,10997
2004-08-24,1625293,455183,4292129,4631116,10779
2004-08-25,1583637,414408,4266002,4602923,10566
2004-08-26,1593756,408858,4254672,4590696,10127
2004-08-27,1679052,455280,4372035,4717331,10887
2004-08-28,1750659,492070,4362595,4707143,12099
2004-08-29,1673258,457022,4321474,4662771,11724
2004-08-30,1463664,438348,4652204,5019632,11075
2004-08-31,1680707,464822,4492878,4847715,10702
2004-09-01,1440101,441969,4189771,4520662,10427
2004-09-02,1378050,404232,4054537,4374749,10337
2004-09-03,1436077,398829,3952064,4264181,11070
2004-09-04,1509070,427841,3592605,3876323,12142
2004-09-05,1491650,431512,3336000,3599447,12392
2004-09-06,1439887,372441,2976499,3211540,12024
2004-09-07,1440075,377666,3832630,4135314,10650
2004-09-08,1526543,387828,4125620,4451448,10809
2004-09-09,1531674,408280,4052937,4373025,10289
2004-09-10,1448369,384081,3876378,4182517,10452
2004-09-11,1448197,386706,3474390,3748768,10799
2004-09-12,1418581,393739,3508083,3785124,10435
2004-09-13,1393396,386005,3985023,4299741,9961
2004-09-14,1328633,364060,3770509,4068283,9653
2004-09-15,1269653,358817,3660105,3949153,9943
2004-09-16,1327189,358812,3872244,4178053,10344
2004-09-17,1435457,370608,3825474,4127589,11059
2004-09-18,1239474,329999,3123592,3370261,11299
2004-09-19,1170226,315658,2901212,3130315,11093
2004-09-20,1189658,318378,3357855,3623024,10665
2004-09-21,1239351,330360,3529995,3808769,10318
2004-09-22,1334588,370797,3690208,3981640,10474
2004-09-23,1361982,381775,3749676,4045805,10496
2004-09-24,1316216,363108,3707517,4000320,10911
2004-09-25,1265488,361829,3290446,3550292,11125
2004-09-26,1270068,359850,3166947,3417042,10803
2004-09-27,1255105,332498,3583998,3867039,10073
2004-09-28,1308595,349388,3650207,3938474,10332
2004-09-29,1241765,353435,3621196,3907176,10046
2004-09-30,1238417,341625,3616844,3902478,10090
2004-10-01,1204240,317636,3475646,3750130,10937
2004-10-02,1242890,346141,3185705,3437274,11300
2004-10-03,1162560,322484,3010805,3248558,10967
2004-10-04,1207462,337951,3457758,3730821,10674
2004-10-05,1145427,318931,3429584,3700422,10560
2004-10-06,1152505,322662,3549454,3829767,11318
2004-10-07,1182105,331476,3588539,3871935,11225
2004-10-08,1170973,328612,3507253,3784226,11924
2004-10-09,1161093,318942,3120279,3366685,12790
2004-10-10,1134533,324383,2988441,3224428,11793
2004-10-11,1149313,327920,3515319,3792930,11632
2004-10-12,1094473,328477,3655085,3943744,11430
2004-10-13,1114157,335520,3775988,4074193,11323
2004-10-14,1165183,328205,3664358,3953746,10855
2004-10-15,1143211,321736,3496174,3772278,11646
2004-10-16,1194317,349211,3293118,3553176,13478
2004-10-17,1221817,349908,3247370,3503814,12841
2004-10-18,1253147,364319,3766320,4063762,11936
2004-10-19,1166167,331675,3692671,3984298,10779
2004-10-20,1185265,329957,3761647,4058717,11156
2004-10-21,1168825,341518,3744827,4040569,11255
2004-10-22,1185129,343484,3691143,3982649,12146
2004-10-23,1261809,356803,3283159,3542428,13404
2004-10-24,1236401,348126,3385756,3653129,12489
2004-10-25,1211114,333425,3674350,3964530,11455
2004-10-26,1195766,322157,3688056,3979315,11010
2004-10-27,1206143,349210,3688451,3979747,11349
2004-10-28,1180915,352952,3643302,3931026,11257
2004-10-29,1151562,329790,3535892,3815134,11570
2004-10-30,1109201,319388,3149454,3398162,11942
2004-10-31,1098264,308378,2975335,3210293,11380
2004-11-01,1195117,325415,3438653,3710208,10915
2004-11-02,1184639,330780,3564811,3846333,10800
2004-11-03,1173426,324829,3521293,3799376,10531
2004-11-04,1281614,360530,3860100,4164950,12154
2004-11-05,1309287,365098,3795291,4095024,13035
2004-11-06,1345045,370877,3420173,3690267,14081
2004-11-07,1264799,341045,3158828,3408283,13085
2004-11-08,1210889,348911,3673751,3963880,12568
2004-11-09,1433985,416715,4259297,4595692,13938
2004-11-10,1543261,434519,4298418,4637898,13900
2004-11-11,1450064,423169,3975748,4289733,13638
2004-11-12,1356145,389119,4009268,4325906,14520
2004-11-13,1439377,387493,3800642,4100796,15897
2004-11-14,1623546,446131,3962871,4275846,15896
2004-11-15,1594332,446744,4257814,4594087,14627
2004-11-16,1548154,433534,4075079,4396918,13923
2004-11-17,1410975,364040,3957927,4270510,13271
2004-11-18,1300261,339895,3707504,4000301,12614
2004-11-19,1220182,319915,3657055,3945863,13021
2004-11-20,1219585,341581,3348977,3613448,14088
2004-11-21,1183853,331543,3262702,3520352,13760
2004-11-22,1314926,356215,3706512,3999228,13268
2004-11-23,1320969,373972,3849946,4153995,13797
2004-11-24,1309466,388040,3740976,4036413,14906
2004-11-25,1321064,401659,3133696,3381162,14635
2004-11-26,1562516,467933,3545470,3825467,18384
2004-11-27,1631267,473164,3593893,3877710,17189
2004-11-28,1319850,402685,3509394,3786538,14570
2004-11-29,1415195,438677,4175176,4504917,13782
2004-11-30,1357750,421129,4198536,4530124,13425
2004-12-01,1164593,409650,4116577,4441692,13631
2004-12-02,1345291,454908,4339393,4682117,14312
2004-12-03,1318169,443589,4365042,4709783,14271
2004-12-04,1425567,473823,4189820,4520721,15112
2004-12-05,1405543,431992,3732382,4027140,13714
2004-12-06,1369683,423870,4184506,4514987,13519
2004-12-07,1232193,378800,4141306,4468375,12328
2004-12-08,1186350,359477,3899294,4207241,11971
2004-12-09,1442041,458920,4395844,4743019,13310
2004-12-10,1259352,418510,4208575,4540957,12561
2004-12-11,1366852,424177,3887906,4194959,13851
2004-12-12,1438077,462891,4043797,4363164,14508
2004-12-13,1453201,480469,4517333,4874109,14371
2004-12-14,1713325,596637,4992558,5386872,16021
2004-12-15,1840792,619893,5134474,5539999,16135
2004-12-16,1830639,573345,5024888,5421760,16627
2004-12-17,1612522,480773,4520059,4877049,15367
2004-12-18,1664159,521256,4462675,4815132,16383
2004-12-19,1774002,584802,4633094,4999010,16451
2004-12-20,2220187,839633,6001897,6475958,19891
2004-12-21,1865709,620295,5181054,5590265,17467
2004-12-22,1522241,487440,4311907,4652458,14099
2004-12-23,1386024,442810,3922933,4232746,14551
2004-12-24,1764872,608077,4317273,4658240,17029
2004-12-25,1842831,657807,4322305,4663668,17910
2004-12-26,1854985,617657,4734171,5108076,17814
2004-12-27,1918234,604941,5077363,5478382,18119
2004-12-28,1940341,611294,5100923,5503803,18252
2004-12-29,1584463,459835,4434716,4784963,16523
2004-12-30,1383056,448868,4202151,4534025,15769
2004-12-31,1370511,427428,3520568,3798599,14883
2005-01-01,1260071,338982,3072168,3314769,13896
2005-01-02,1248603,344942,3665990,3955507,13421
2005-01-03,1311894,322138,3937909,4248909,12299
2005-01-04,1204765,268391,3798889,4098903,11803
2005-01-05,1186296,269748,4184935,4515448,11730
2005-01-06,1230219,297701,4346460,4689737,12134
2005-01-07,1281999,346596,4356567,4700638,13760
2005-01-08,1354626,361566,3918745,4228231,13644
2005-01-09,1468193,417705,4154864,4483001,13867
2005-01-10,1475246,378962,4402936,4750672,13015
2005-01-11,1437854,345552,4370677,4715866,12847
2005-01-12,1284538,300674,4270774,4608068,12116
2005-01-13,1160725,264850,4014261,4331297,11553
2005-01-14,1305880,339254,4153898,4481964,13933
2005-01-15,1716625,493317,4499406,4854768,16110
2005-01-16,1745762,496315,4553246,4912858,15712
2005-01-17,2028386,665223,5699125,6149265,18693
2005-01-18,2256721,732503,6046119,6523671,18911
2005-01-19,2318849,716455,5834228,6295038,18481
2005-01-20,1886246,496988,5084667,5486267,16100
2005-01-21,1926986,594336,5118052,5522285,16192
2005-01-22,2095137,680429,5453103,5883805,18482
2005-01-23,2204427,779616,5658433,6105364,20445
2005-01-24,2169374,719160,5949517,6419435,19472
2005-01-25,1824954,521908,5123688,5528367,16400
2005-01-26,1590667,444241,4709013,5080928,14875
2005-01-27,1771539,475758,5336760,5758270,16274
2005-01-28,2105052,643471,5637475,6082741,17734
2005-01-29,2033899,677699,5169020,5577279,18763
2005-01-30,1801876,526727,4714418,5086765,16257
2005-01-31,1789410,512806,5067723,5467978,15886
2005-02-01,1752622,552809,5045905,5444436,15112
2005-02-02,1719816,570642,5026011,5422975,15262
2005-02-03,1884586,565181,4966669,5358938,15315
2005-02-04,1748929,490545,4609499,4973557,14845
2005-02-05,1587375,450211,4126498,4452393,15399
2005-02-06,1567309,454294,4044413,4363824,14389
2005-02-07,1491134,422884,4243023,4578125,13353
2005-02-08,1363247,375461,4034269,4352882,12344
2005-02-09,1364277,374591,3907623,4216227,12623
2005-02-10,1521258,477505,4534538,4892674,14695
2005-02-11,1830529,603146,5037516,5435383,16856
